"DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","Date","original"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:05:00",NA,NA,NA,351,44,NA,NA,NA,NA,1564491900,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:10:00",NA,NA,NA,428,44.5,NA,NA,NA,NA,1564492200,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:15:00",NA,NA,NA,351,44,NA,NA,NA,NA,1564492500,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:20:00",NA,NA,NA,10,10,NA,NA,NA,NA,1564492800,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:25:00",NA,NA,NA,214,22.5,NA,NA,NA,NA,1564493100,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:30:00",NA,NA,NA,273,43,NA,NA,NA,NA,1564493400,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:35:00",NA,NA,NA,273,43,NA,NA,NA,NA,1564493700,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:40:00",NA,NA,NA,49,11,NA,NA,NA,NA,1564494000,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:45:00",NA,NA,NA,214,22.5,NA,NA,NA,NA,1564494300,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:50:00",NA,NA,NA,351,44,NA,NA,NA,NA,1564494600,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","13:55:00",NA,NA,NA,273,43,NA,NA,NA,NA,1564494900,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:00:00",NA,NA,NA,136,21.5,NA,NA,NA,NA,1564495200,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:05:00",NA,NA,NA,175,22.5,NA,NA,NA,NA,1564495500,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:10:00",NA,NA,NA,351,44,NA,NA,NA,NA,1564495800,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:15:00",NA,NA,NA,428,44.5,NA,NA,NA,NA,1564496100,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:20:00",NA,NA,NA,351,44,NA,NA,NA,NA,1564496400,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:25:00",NA,NA,NA,29,10.5,NA,NA,NA,NA,1564496700,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:30:00",NA,NA,NA,214,22.5,NA,NA,NA,NA,1564497000,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:35:00",NA,NA,NA,351,44,NA,NA,NA,NA,1564497300,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:40:00",NA,NA,NA,273,43,NA,NA,NA,NA,1564497600,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:45:00",NA,NA,NA,175,22.5,NA,NA,NA,NA,1564497900,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:50:00",NA,NA,NA,10,10,NA,NA,NA,NA,1564498200,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","14:55:00",NA,NA,NA,214,22.5,NA,NA,NA,NA,1564498500,"portal"
"ZcTag093_DUML",180763,1,"Transmission","Mk10","30-Jul-2019","15:00:00",NA,NA,NA,779,88,NA,NA,NA,NA,1564498800,"portal"
